area,day,label
서울,2022-06-28,0
서울,2022-06-29,7
서울,2022-06-30,7
서울,2022-07-01,0
서울,2022-07-02,0
서울,2022-07-03,0
서울,2022-07-04,0
서울,2022-07-05,0
서울,2022-07-06,0
서울,2022-07-07,0
서울,2022-07-08,0
서울,2022-07-09,0
서울,2022-07-10,0
서울,2022-07-11,0
서울,2022-07-12,0
서울,2022-07-13,7
서울,2022-07-14,0
서울,2022-07-15,0
서울,2022-07-16,7
서울,2022-07-17,0
서울,2022-07-18,0
서울,2022-07-19,0
서울,2022-07-20,0
서울,2022-07-21,7
서울,2022-07-22,0
서울,2022-07-23,7
서울,2022-07-24,0
서울,2022-07-25,0
서울,2022-07-26,0
서울,2022-07-27,0
서울,2022-07-28,0
서울,2022-07-29,0
서울,2022-07-30,0
서울,2022-07-31,0
서울,2022-08-01,0
서울,2022-08-02,8
서울,2022-08-03,8
서울,2022-08-04,8
서울,2022-08-05,8
서울,2022-08-06,8
서울,2022-08-07,8
서울,2022-08-09,10
서울,2022-08-10,10
서울,2022-08-11,10
서울,2022-08-12,8
서울,2022-08-13,8
서울,2022-08-14,8
서울,2022-08-15,8
서울,2022-08-16,8
서울,2022-08-17,8
서울,2022-08-18,8
서울,2022-08-19,8
서울,2022-08-20,8
서울,2022-08-21,8
서울,2022-08-22,8
서울,2022-08-23,10
서울,2022-08-24,10
서울,2022-08-25,10
서울,2022-08-26,10
서울,2022-08-27,10
서울,2022-08-28,10
서울,2022-08-29,10
서울,2022-08-30,6
서울,2022-08-31,10
서울,2022-09-01,10
서울,2022-09-02,10
서울,2022-09-03,10
서울,2022-09-04,10
서울,2022-09-05,6
서울,2022-09-06,6
서울,2022-09-07,10
서울,2022-09-08,10
서울,2022-09-09,10
서울,2022-09-10,10
서울,2022-09-11,10
서울,2022-09-12,10
서울,2022-09-13,10
서울,2022-09-14,10
서울,2022-09-15,10
서울,2022-09-16,10
서울,2022-09-17,10
서울,2022-09-18,8
서울,2022-09-19,10
서울,2022-09-20,6
서울,2022-09-21,6
서울,2022-09-22,6
서울,2022-09-23,6
서울,2022-09-24,6
서울,2022-09-25,6
서울,2022-09-26,6
서울,2022-09-27,6
서울,2022-09-28,6
서울,2022-09-29,6
서울,2022-09-30,6
서울,2022-10-01,6
서울,2022-10-02,6
서울,2022-10-03,10
서울,2022-10-04,6
서울,2022-10-05,6
서울,2022-10-06,2
서울,2022-10-07,2
서울,2022-10-08,2
서울,2022-10-09,2
서울,2022-10-10,13
서울,2022-10-11,13
서울,2022-10-12,2
서울,2022-10-13,6
서울,2022-10-14,6
서울,2022-10-15,6
서울,2022-10-16,6
서울,2022-10-17,13
서울,2022-10-18,13
서울,2022-10-19,13
서울,2022-10-20,2
서울,2022-10-21,2
서울,2022-10-22,2
서울,2022-10-23,2
서울,2022-10-24,13
