                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     75,                0.81344,                 1.7896,                 1.0727,                 1.1054,                0.80764,                0.80766,                0.86962,                0.69285,                0.80494,                0.80274,                0.86229,                0.62595,                0.72263,                 1.5771,                0.68069,                 1.1021,               0.002674,               0.002674,               0.002674
                     76,                 0.8118,                  1.764,                 1.0719,                 1.0998,                0.79531,                0.82054,                0.86903,                0.69336,                0.79227,                 0.8162,                0.86145,                0.62606,                0.72157,                 1.5757,                0.68232,                 1.1008,               0.002575,               0.002575,               0.002575
                     77,                0.81195,                 1.7815,                 1.0672,                 1.1028,                0.79315,                0.82724,                0.86943,                0.69389,                0.79003,                0.82318,                0.86161,                0.62666,                 0.7204,                 1.5739,                0.67919,                 1.1002,               0.002476,               0.002476,               0.002476
                     78,                0.81071,                 1.7711,                 1.0586,                 1.0989,                0.78946,                0.83383,                0.86983,                0.69487,                0.78609,                0.82985,                0.86246,                0.62675,                0.71962,                 1.5723,                0.67783,                 1.0993,               0.002377,               0.002377,               0.002377
                     79,                0.80213,                 1.7625,                 1.0561,                 1.0954,                0.78811,                0.83801,                0.87065,                0.69644,                0.78591,                0.83184,                0.86313,                0.62818,                  0.719,                 1.5709,                 0.6766,                 1.0986,               0.002278,               0.002278,               0.002278
                     80,                0.79537,                 1.7662,                 1.0465,                 1.0944,                0.79225,                0.83435,                0.87238,                0.69626,                 0.7893,                0.83023,                0.86505,                0.62868,                0.71864,                 1.5689,                 0.6732,                 1.0978,               0.002179,               0.002179,               0.002179
                     81,                0.79691,                 1.7405,                 1.0342,                 1.0945,                0.79785,                0.83013,                0.87286,                0.69779,                0.80192,                0.81683,                0.86459,                0.62902,                0.71838,                  1.568,                0.66972,                 1.0978,                0.00208,                0.00208,                0.00208
                     82,                0.79582,                 1.7366,                 1.0346,                 1.0973,                0.80753,                0.81897,                0.87289,                0.69779,                0.80487,                0.81388,                0.86437,                0.62933,                0.71728,                 1.5669,                0.66798,                 1.0965,               0.001981,               0.001981,               0.001981
                     83,                0.79445,                 1.7364,                  1.022,                 1.0932,                0.80815,                 0.8237,                0.87334,                0.69826,                0.80678,                0.81692,                0.86437,                0.62955,                0.71636,                 1.5655,                0.66638,                 1.0958,               0.001882,               0.001882,               0.001882
                     84,                0.78358,                 1.7439,                 1.0214,                 1.0891,                0.81824,                0.81407,                0.87403,                0.69899,                0.82048,                0.80342,                0.86509,                0.62975,                 0.7156,                  1.565,                0.66389,                 1.0955,               0.001783,               0.001783,               0.001783
                     85,                0.78318,                 1.7245,                  1.014,                 1.0882,                0.81898,                0.81545,                 0.8744,                0.70033,                0.81579,                0.81152,                0.86584,                0.63062,                0.71498,                 1.5634,                0.66247,                 1.0951,               0.001684,               0.001684,               0.001684
