area,day,ap_tmp,sin,dif
전주,2022-01-12,-3.282463221130057,0,-8.799999999999999
전주,2022-01-13,-4.259669193322997,0,-6.6
전주,2022-01-14,-1.1897676825996775,0,-10.600000000000001
전주,2022-01-15,4.2573779004174455,0,-10.9
전주,2022-01-16,0.8391195756128881,0,-9.4
전주,2022-01-17,-1.3893146028430863,0,-8.1
전주,2022-01-18,-1.894686052819728,0,-8.7
전주,2022-01-19,-1.283226250434243,0,-14.399999999999999
전주,2022-01-20,-2.1026722191067524,0,-10.700000000000001
전주,2022-01-21,0.7955933505343836,0,-14.0
전주,2022-01-22,6.466383604647243,0,-9.3
전주,2022-01-23,6.767611655224035,0,-7.4
전주,2022-01-24,6.974014375791208,0,-10.3
전주,2022-01-25,6.3561722732655275,0,-3.8000000000000003
전주,2022-01-26,4.340333525563482,0,-6.6
전주,2022-01-27,2.2414160697728427,0,-8.2
전주,2022-01-28,0.7450479555787966,0,-8.899999999999999
전주,2022-01-29,0.15226523201787745,0,-7.9
전주,2022-01-30,0.020548879233704687,0,-9.0
전주,2022-01-31,0.7790104833443665,0,-12.2
전주,2022-02-01,0.8469676849181212,0.5099326043901359,-3.4
전주,2022-02-02,1.0584583354587798,0.524704487799008,-6.3999999999999995
전주,2022-02-03,-0.010166021528135588,0.5393200344991993,-9.0
전주,2022-02-04,-1.7125634603724134,0.553774889760533,-7.199999999999999
전주,2022-02-05,-3.8465633248471285,0.5680647467311558,-6.699999999999999
전주,2022-02-06,-1.5911049520974585,0.5821853477207707,-9.5
전주,2022-02-07,-0.3347898056670441,0.5961324854692253,-8.2
전주,2022-02-08,1.825330188077187,0.6099020044000729,-11.399999999999999
전주,2022-02-09,3.1639880768828323,0.6234898018587335,-12.8
전주,2022-02-10,4.435024449415555,0.6368918293348892,-8.9
전주,2022-02-11,4.552885102078034,0.6501040936687442,-14.1
전주,2022-02-12,6.320767515517742,0.6631226582407952,-13.7
전주,2022-02-13,7.464691430096378,0.6759436441447544,-11.0
전주,2022-02-14,4.566400625761954,0.6885632313432771,-12.399999999999999
전주,2022-02-15,-2.6740939335827014,0.7009776598061493,-6.7
전주,2022-02-16,-4.701112177953187,0.7131832306305963,-6.3999999999999995
전주,2022-02-17,-4.128142355646357,0.7251763071433764,-9.8
전주,2022-02-18,1.5730468999731881,0.7369533159843367,-15.9
전주,2022-02-19,1.4185962761265578,0.7485107481711011,-8.3
전주,2022-02-20,-3.6366029523077352,0.7598451601445788,-7.9
전주,2022-02-21,-0.1751175528830013,0.7709531747949796,-11.8
전주,2022-02-22,-1.171469212741412,0.7818314824680298,-8.7
전주,2022-02-23,-3.2074335551299784,0.7924768419510905,-8.5
전주,2022-02-24,-0.7454258175811602,0.8028860814388825,-12.600000000000001
전주,2022-02-25,3.4829698550003347,0.8130560994785325,-15.0
전주,2022-02-26,6.458428638870068,0.8229838658936565,-13.0
전주,2022-02-27,5.59716769129108,0.8326664226872064,-11.8
전주,2022-02-28,8.507538059276207,0.8421008849228117,-15.6
전주,2022-03-01,7.122822646666361,0.8512844415843512,-9.299999999999999
전주,2022-03-02,3.82285916090489,0.8602143564135007,-11.2
전주,2022-03-03,7.365592885400338,0.8688879687250065,-13.799999999999999
전주,2022-03-04,10.525234723911804,0.8773026941994421,-15.0
전주,2022-03-05,3.1845814956703586,0.8854560256532099,-9.5
전주,2022-03-06,2.42587093685496,0.893345533785563,-10.7
전주,2022-03-07,4.954789215359387,0.9009688679024191,-12.9
전주,2022-03-08,7.255378080384758,0.908323756616754,-15.600000000000001
전주,2022-03-09,9.128580760392573,0.9154080085253663,-16.2
전주,2022-03-10,11.876150120275469,0.9222195128618103,-15.9
전주,2022-03-11,15.056186499572775,0.9287562401253023,-14.0
전주,2022-03-12,17.7907492147039,0.9350162426854148,-12.5
전주,2022-03-13,16.3867073551506,0.9409976553623765,-6.699999999999999
전주,2022-03-14,11.851030366326306,0.9466986959828059,-11.899999999999999
전주,2022-03-15,10.197803242182399,0.9521176659107141,-11.100000000000001
전주,2022-03-16,13.461356452310874,0.9572529505536157,-15.499999999999998
전주,2022-03-17,11.981046800156285,0.9621030198436005,-5.3
전주,2022-03-18,8.979884229356276,0.9666664286932196,-4.1
전주,2022-03-19,5.072605038484257,0.970941817426052,-3.9
전주,2022-03-20,5.481618514638545,0.9749279121818236,-7.7
전주,2022-03-21,7.472539378783219,0.9786235252959552,-12.399999999999999
전주,2022-03-22,7.946460409135044,0.9820275556534303,-11.0
전주,2022-03-23,7.369039510733922,0.9851389890168738,-7.299999999999999
전주,2022-03-24,10.792470090688774,0.9879568983287464,-14.799999999999999
전주,2022-03-25,15.623493353898724,0.9904804439875632,-11.399999999999999
전주,2022-03-26,11.07478630204244,0.992708874098054,-10.0
전주,2022-03-27,9.005992655096469,0.9946415246951927,-12.2
전주,2022-03-28,9.335537003670598,0.9962778199420265,-14.799999999999999
전주,2022-03-29,12.478255174772169,0.9976172723012476,-15.2
전주,2022-03-30,14.254033386863888,0.9986594826804562,-14.099999999999998
전주,2022-03-31,10.354112822945265,0.9994041405510704,-6.9
전주,2022-04-01,10.565532606574337,0.9998510240408494,-11.400000000000002
전주,2022-04-02,8.345624878469051,1.0,-11.299999999999999
전주,2022-04-03,9.799465356218793,0.9998510240408494,-15.6
전주,2022-04-04,11.351666720871386,0.9994041405510704,-14.899999999999999
전주,2022-04-05,11.747052381557934,0.9986594826804562,-15.1
전주,2022-04-06,12.478255174772169,0.9976172723012476,-15.700000000000001
전주,2022-04-07,11.876150120275469,0.9962778199420265,-10.299999999999999
전주,2022-04-08,15.472158832146825,0.9946415246951927,-18.700000000000003
전주,2022-04-09,20.85492876483505,0.992708874098054,-14.299999999999999
전주,2022-04-10,20.372781190621648,0.9904804439875632,-13.200000000000001
전주,2022-04-11,22.722170165246133,0.9879568983287464,-12.400000000000002
전주,2022-04-12,21.525769517466863,0.9851389890168738,-11.7
전주,2022-04-13,17.2236,0.9820275556534304,-6.5
전주,2022-04-14,14.538565548197113,0.9786235252959553,-6.799999999999999
전주,2022-04-15,13.345794555883273,0.9749279121818236,-11.499999999999998
전주,2022-04-16,13.419699685566844,0.970941817426052,-12.7
전주,2022-04-17,14.22262553539856,0.9666664286932195,-15.100000000000001
전주,2022-04-18,16.0961173310079,0.9621030198436006,-12.700000000000001
전주,2022-04-19,16.118265612189884,0.9572529505536158,-14.700000000000001
전주,2022-04-20,16.379576656373892,0.9521176659107141,-14.7
전주,2022-04-21,16.911190754554685,0.946698695982806,-11.399999999999999
